no change     /projects/compbio/users/xran2/miniconda3/condabin/conda
no change     /projects/compbio/users/xran2/miniconda3/bin/conda
no change     /projects/compbio/users/xran2/miniconda3/bin/conda-env
no change     /projects/compbio/users/xran2/miniconda3/bin/activate
no change     /projects/compbio/users/xran2/miniconda3/bin/deactivate
no change     /projects/compbio/users/xran2/miniconda3/etc/profile.d/conda.sh
no change     /projects/compbio/users/xran2/miniconda3/etc/fish/conf.d/conda.fish
no change     /projects/compbio/users/xran2/miniconda3/shell/condabin/Conda.psm1
no change     /projects/compbio/users/xran2/miniconda3/shell/condabin/conda-hook.ps1
no change     /projects/compbio/users/xran2/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /projects/compbio/users/xran2/miniconda3/etc/profile.d/conda.csh
no change     /home/xran2/.bashrc
No action taken.
Once upon a time, in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with twinkling stars. Each night, she would sprinkle the magic dust from her horn to help the stars twinkle a little brighter, lighting the way for lost travelers. As they followed the radiant path home, Luna felt the warmth of friendship fill her heart, knowing she had brought them safely back.
Mitochondrial Genome Maintenance -> Top-5 Biodomains: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Alpha-1,6-Mannosyltransferase Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
Single Strand Break Repair -> Top-5 Biodomains: DNA Repair, Oxidative Stress, Autophagy, Cell Cycle, Proteostasis
Single-Stranded Dna Endodeoxyribonuclease Activity -> Top-5 Biodomains: DNA Repair, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
Phosphopyruvate Hydratase Complex -> Top-5 Biodomains: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
Lactase Activity -> Top-5 Biodomains: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
Alpha-Glucoside Transport -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
Regulation Of Dna Recombination -> Top-5 Biodomains: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
Regulation Of Mitotic Recombination -> Top-5 Biodomains: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
Mitotic Spindle Elongation -> Top-5 Biodomains: Cell Cycle, Mitotic Cell Cycle, Microtubule-based Process, Spindle Organization, Chromosome Segregation
Maltose Metabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
Maltose Catabolic Process -> Top-5 Biodomains: Lipid Metabolism, Carbohydrate Metabolic Process, Autophagy, Proteostasis, Oxidative Stress
Alpha-1,2-Mannosyltransferase Activity -> Top-5 Biodomains: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
Ribosomal Large Subunit Assembly -> Top-5 Biodomains: Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
Ribosomal Small Subunit Assembly -> Top-5 Biodomains: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Structural Stabilization
Mannosyltransferase Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
