array_index,seconds_used,timestamp,temperature
20,3.36,2025-07-13 02:55:30,0.9
18,37426.8,2025-07-13 13:19:19,0.9
19,37744.81,2025-07-13 13:24:32,0.9
8,38857.93,2025-07-13 13:43:11,0.9
14,38953.46,2025-07-13 13:44:46,0.9
13,39196.64,2025-07-13 13:48:49,0.9
17,39361.24,2025-07-13 13:51:34,0.9
12,39417.62,2025-07-13 13:52:30,0.9
7,39431.53,2025-07-13 13:52:44,0.9
9,39466.69,2025-07-13 13:53:19,0.9
10,39537.08,2025-07-13 13:54:30,0.9
15,39923.75,2025-07-13 14:00:56,0.9
1,40283.22,2025-07-13 14:06:56,0.9
5,40430.33,2025-07-13 14:09:23,0.9
16,40461.72,2025-07-13 14:09:54,0.9
11,40462.89,2025-07-13 14:09:55,0.9
6,40992.92,2025-07-13 14:18:46,0.9
4,41364.33,2025-07-13 14:24:57,0.9
3,42625.77,2025-07-13 14:45:58,0.9
2,43295.42,2025-07-13 14:57:08,0.9
