node,nodeID,root node,root node ID,biodomain
mitochondrial genome maintenance,GO:0000002,biological_process,GO:0008150,"Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy"
"alpha-1,6-mannosyltransferase activity",GO:0000009,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism"
single strand break repair,GO:0000012,biological_process,GO:0008150,"DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Autophagy"
single-stranded DNA endodeoxyribonuclease activity,GO:0000014,molecular_function,GO:0003674,"DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress"
phosphopyruvate hydratase complex,GO:0000015,cellular_component,GO:0005575,"Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy"
lactase activity,GO:0000016,molecular_function,GO:0003674,"Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism"
alpha-glucoside transport,GO:0000017,biological_process,GO:0008150,"Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis"
regulation of DNA recombination,GO:0000018,biological_process,GO:0008150,"DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy"
regulation of mitotic recombination,GO:0000019,biological_process,GO:0008150,"Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy"
mitotic spindle elongation,GO:0000022,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair"
maltose metabolic process,GO:0000023,biological_process,GO:0008150,"Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Endolysosome"
maltose catabolic process,GO:0000025,biological_process,GO:0008150,"Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress"
"alpha-1,2-mannosyltransferase activity",GO:0000026,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis"
ribosomal large subunit assembly,GO:0000027,biological_process,GO:0008150,"Proteostasis, Structural Stabilization, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis"
ribosomal small subunit assembly,GO:0000028,biological_process,GO:0008150,"Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Metal Binding and Homeostasis"
mannosyltransferase activity,GO:0000030,molecular_function,GO:0003674,"Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism"
"alpha-1,3-mannosyltransferase activity",GO:0000033,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism"
acyl binding,GO:0000035,molecular_function,GO:0003674,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis"
acyl carrier activity,GO:0000036,molecular_function,GO:0003674,"Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis"
very long-chain fatty acid metabolic process,GO:0000038,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis"
autophagosome assembly,GO:0000045,biological_process,GO:0008150,"Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism"
peptidyltransferase activity,GO:0000048,molecular_function,GO:0003674,"Proteostasis, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism"
tRNA binding,GO:0000049,molecular_function,GO:0003674,"Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy"
urea cycle,GO:0000050,biological_process,GO:0008150,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress"
citrulline metabolic process,GO:0000052,biological_process,GO:0008150,"Mitochondrial Metabolism, Vasculature, Immune Response, Oxidative Stress, Epigenetic"
argininosuccinate metabolic process,GO:0000053,biological_process,GO:0008150,"Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome"
