array_index,seconds_used,timestamp,temperature
20,3.95,2025-07-13 03:00:58,0.5
18,38688.47,2025-07-13 13:45:42,0.5
19,38809.38,2025-07-13 13:47:43,0.5
8,39036.26,2025-07-13 13:51:31,0.5
17,39567.71,2025-07-13 14:00:22,0.5
7,40414.83,2025-07-13 14:14:30,0.5
12,40694.34,2025-07-13 14:19:09,0.5
10,41090.29,2025-07-13 14:25:45,0.5
11,41303.01,2025-07-13 14:29:18,0.5
14,41761.97,2025-07-13 14:36:55,0.5
13,41817.65,2025-07-13 14:37:52,0.5
16,42033.97,2025-07-13 14:41:28,0.5
9,42334.52,2025-07-13 14:46:29,0.5
1,42705.91,2025-07-13 14:52:41,0.5
4,42880.43,2025-07-13 14:55:35,0.5
5,43192.95,2025-07-13 15:00:48,0.5
6,43286.35,2025-07-13 15:02:21,0.5
15,43329.8,2025-07-13 15:03:04,0.5
3,46171.07,2025-07-13 15:50:26,0.5
2,46329.07,2025-07-13 15:53:04,0.5
