node,nodeID,root node,root node ID,biodomain
epiblast cell-extraembryonic ectoderm cell signaling,GO:0060802,biological_process,GO:0008150,"Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy"
negative regulation of cell differentiation involved in embryonic placenta development,GO:0060806,biological_process,GO:0008150,"Reproductive Process, Developmental Process, Cell Differentiation, Organ Development, Cellular Process"
mesodermal to mesenchymal transition involved in gastrulation,GO:0060809,biological_process,GO:0008150,"Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy"
random inactivation of X chromosome,GO:0060816,biological_process,GO:0008150,"Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy"
regulation of canonical Wnt signaling pathway,GO:0060828,biological_process,GO:0008150,"Proteostasis
Cell Cycle
Autophagy
Apoptosis
Structural Stabilization"
smoothened signaling pathway involved in dorsal/ventral neural tube patterning,GO:0060831,biological_process,GO:0008150,"Cell Cycle, Epigenetic, Proteostasis, Synapse, Autophagy"
lymphatic endothelial cell differentiation,GO:0060836,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome"
blood vessel endothelial cell differentiation,GO:0060837,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism"
lymphatic endothelial cell fate commitment,GO:0060838,biological_process,GO:0008150,"Vasculature, Immune Response, Structural Stabilization, Epigenetic, Cell Cycle"
artery development,GO:0060840,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response"
venous blood vessel development,GO:0060841,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy"
arterial endothelial cell differentiation,GO:0060842,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism"
venous endothelial cell differentiation,GO:0060843,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis"
arterial endothelial cell fate commitment,GO:0060844,biological_process,GO:0008150,"Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome"
endothelial cell fate specification,GO:0060847,biological_process,GO:0008150,"Vasculature, Cell Cycle, Immune Response, Epigenetic, Structural Stabilization"
Notch signaling pathway involved in arterial endothelial cell fate commitment,GO:0060853,biological_process,GO:0008150,"Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic"
branching involved in lymph vessel morphogenesis,GO:0060854,biological_process,GO:0008150,"Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Endolysosome"
establishment of blood-brain barrier,GO:0060856,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism"
establishment of glial blood-brain barrier,GO:0060857,biological_process,GO:0008150,"Vasculature, Synapse, Structural Stabilization, Immune Response, Lipid Metabolism"
semicircular canal development,GO:0060872,biological_process,GO:0008150,"Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis"
anterior semicircular canal development,GO:0060873,biological_process,GO:0008150,"Structural Stabilization, Synapse, Vasculature, Endolysosome, Immune Response"
lateral semicircular canal development,GO:0060875,biological_process,GO:0008150,"Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy"
semicircular canal formation,GO:0060876,biological_process,GO:0008150,"Structural Stabilization, Vasculature, Synapse, Apoptosis, Autophagy"
semicircular canal fusion,GO:0060879,biological_process,GO:0008150,"Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis"
limb epidermis development,GO:0060887,biological_process,GO:0008150,"Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy"
neural plate pattern specification,GO:0060896,biological_process,GO:0008150,"Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis"
embryonic camera-type eye formation,GO:0060900,biological_process,GO:0008150,"Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response"
positive regulation of meiosis I,GO:0060903,biological_process,GO:0008150,"Cell Cycle, Reproductive Process, Regulation of Cell Cycle, Cellular Process Organization, Organelle Organization"
regulation of protein folding in endoplasmic reticulum,GO:0060904,biological_process,GO:0008150,"Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism"
positive regulation of macrophage cytokine production,GO:0060907,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
cardiac cell fate specification,GO:0060912,biological_process,GO:0008150,"Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic"
cardiac cell fate determination,GO:0060913,biological_process,GO:0008150,"Vasculature, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization"
heart formation,GO:0060914,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair"
mesenchymal cell differentiation involved in lung development,GO:0060915,biological_process,GO:0008150,"Cell Cycle, Epigenetic, Vasculature, Autophagy, Lipid Metabolism"
