array_index,seconds_used,timestamp,temperature
39,6.14,2025-07-13 13:52:35,0.1
38,17499.16,2025-07-13 18:44:08,0.1
36,19705.21,2025-07-13 19:20:54,0.1
34,19728.54,2025-07-13 19:21:17,0.1
35,19925.8,2025-07-13 19:24:34,0.1
21,20366.11,2025-07-13 19:31:55,0.1
15,20642.48,2025-07-13 19:36:31,0.1
9,21366.92,2025-07-13 19:48:36,0.1
16,22555.58,2025-07-13 20:08:24,0.1
33,22855.76,2025-07-13 20:13:24,0.1
23,22976.23,2025-07-13 20:15:25,0.1
26,22981.09,2025-07-13 20:15:30,0.1
25,23050.48,2025-07-13 20:16:39,0.1
28,23256.74,2025-07-13 20:20:05,0.1
37,23271.45,2025-07-13 20:20:20,0.1
27,23473.28,2025-07-13 20:23:42,0.1
20,23670.42,2025-07-13 20:26:59,0.1
14,23706.14,2025-07-13 20:27:35,0.1
24,23706.64,2025-07-13 20:27:35,0.1
32,24083.96,2025-07-13 20:33:53,0.1
13,24107.97,2025-07-13 20:34:17,0.1
17,24108.54,2025-07-13 20:34:17,0.1
7,24119.05,2025-07-13 20:34:28,0.1
19,24221.51,2025-07-13 20:36:10,0.1
29,24243.7,2025-07-13 20:36:32,0.1
18,24446.45,2025-07-13 20:39:55,0.1
30,24518.64,2025-07-13 20:41:07,0.1
3,24519.02,2025-07-13 20:41:08,0.1
2,24575.65,2025-07-13 20:42:04,0.1
11,24637.53,2025-07-13 20:43:06,0.1
22,24653.49,2025-07-13 20:43:22,0.1
1,24663.74,2025-07-13 20:43:32,0.1
12,24735.72,2025-07-13 20:44:44,0.1
5,24788.8,2025-07-13 20:45:37,0.1
31,24919.38,2025-07-13 20:47:48,0.1
8,25564.19,2025-07-13 20:58:33,0.1
10,25640.27,2025-07-13 20:59:49,0.1
6,26259.93,2025-07-13 21:10:09,0.1
4,26265.17,2025-07-13 21:10:14,0.1
