node,nodeID,root node,root node ID,biodomain
positive regulation of B cell tolerance induction,GO:0002663,biological_process,GO:0008150,"Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy"
regulation of T cell tolerance induction,GO:0002664,biological_process,GO:0008150,"Immune Response, Autophagy, Endolysosome, Apoptosis, Proteostasis"
positive regulation of T cell tolerance induction,GO:0002666,biological_process,GO:0008150,"Immune Response, Tau Homeostasis, Proteostasis, Endolysosome, Apoptosis"
regulation of T cell anergy,GO:0002667,biological_process,GO:0008150,"Immune Response, Autophagy, Proteostasis, Apoptosis, Cell Cycle"
positive regulation of T cell anergy,GO:0002669,biological_process,GO:0008150,"Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis"
regulation of acute inflammatory response,GO:0002673,biological_process,GO:0008150,"Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress"
negative regulation of acute inflammatory response,GO:0002674,biological_process,GO:0008150,"Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism"
positive regulation of acute inflammatory response,GO:0002675,biological_process,GO:0008150,"Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis"
regulation of chronic inflammatory response,GO:0002676,biological_process,GO:0008150,"Immune Response, Oxidative Stress, APP Metabolism, Endolysosome, Proteostasis"
negative regulation of chronic inflammatory response,GO:0002677,biological_process,GO:0008150,"Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis"
positive regulation of chronic inflammatory response,GO:0002678,biological_process,GO:0008150,"Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism"
respiratory burst involved in defense response,GO:0002679,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome"
regulation of immune system process,GO:0002682,biological_process,GO:0008150,"Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis"
negative regulation of immune system process,GO:0002683,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy"
positive regulation of immune system process,GO:0002684,biological_process,GO:0008150,"Immune Response, Inflammation, Autophagy, Oxidative Stress, Proteostasis"
regulation of leukocyte migration,GO:0002685,biological_process,GO:0008150,"Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy"
negative regulation of leukocyte migration,GO:0002686,biological_process,GO:0008150,"Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis"
positive regulation of leukocyte migration,GO:0002687,biological_process,GO:0008150,"Immune Response, Endolysosome, Vasculature, Synapse, Proteostasis"
negative regulation of leukocyte chemotaxis,GO:0002689,biological_process,GO:0008150,"Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome"
positive regulation of leukocyte chemotaxis,GO:0002690,biological_process,GO:0008150,"Immune Response, Oxidative Stress, Vasculature, Synapse, Proteostasis"
regulation of cellular extravasation,GO:0002691,biological_process,GO:0008150,"Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome"
negative regulation of cellular extravasation,GO:0002692,biological_process,GO:0008150,"Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome"
