node,nodeID,root node,root node ID,biodomain
epiblast cell-extraembryonic ectoderm cell signaling,GO:0060802,biological_process,GO:0008150,"Unknown, Epigenetic, Cell Cycle, Immune Response, Proteostasis"
negative regulation of cell differentiation involved in embryonic placenta development,GO:0060806,biological_process,GO:0008150,"Unknown, Cell Cycle, Epigenetic, Immune Response, Apoptosis"
mesodermal to mesenchymal transition involved in gastrulation,GO:0060809,biological_process,GO:0008150,"Unknown, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy"
random inactivation of X chromosome,GO:0060816,biological_process,GO:0008150,"Epigenetic, DNA Repair, Cell Cycle, Unknown, Immune Response"
regulation of canonical Wnt signaling pathway,GO:0060828,biological_process,GO:0008150,"Proteostasis, Tau Homeostasis, Synapse, APP Metabolism, Oxidative Stress"
smoothened signaling pathway involved in dorsal/ventral neural tube patterning,GO:0060831,biological_process,GO:0008150,"Endolysosome, Autophagy, Synapse, Proteostasis, Immune Response"
lymphatic endothelial cell differentiation,GO:0060836,biological_process,GO:0008150,"Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy"
blood vessel endothelial cell differentiation,GO:0060837,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress"
lymphatic endothelial cell fate commitment,GO:0060838,biological_process,GO:0008150,"Vasculature, Immune Response, Endolysosome, Structural Stabilization, Proteostasis"
artery development,GO:0060840,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Endolysosome, Immune Response, Proteostasis"
venous blood vessel development,GO:0060841,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism"
arterial endothelial cell differentiation,GO:0060842,biological_process,GO:0008150,"Vasculature, Endolysosome, Immune Response, APP Metabolism, Structural Stabilization"
venous endothelial cell differentiation,GO:0060843,biological_process,GO:0008150,"Vasculature, Endolysosome, Immune Response, Lipid Metabolism, Structural Stabilization"
arterial endothelial cell fate commitment,GO:0060844,biological_process,GO:0008150,"Vasculature, Endolysosome, Immune Response, Lipid Metabolism, Cell Cycle"
endothelial cell fate specification,GO:0060847,biological_process,GO:0008150,"Vasculature, Immune Response, Endolysosome, Structural Stabilization, Proteostasis"
Notch signaling pathway involved in arterial endothelial cell fate commitment,GO:0060853,biological_process,GO:0008150,"Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy"
branching involved in lymph vessel morphogenesis,GO:0060854,biological_process,GO:0008150,"Vasculature, Immune Response, Structural Stabilization, Endolysosome, Unknown"
establishment of blood-brain barrier,GO:0060856,biological_process,GO:0008150,"Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism"
establishment of glial blood-brain barrier,GO:0060857,biological_process,GO:0008150,"Vasculature, Immune Response, Structural Stabilization, Endolysosome, Synapse"
semicircular canal development,GO:0060872,biological_process,GO:0008150,"Unknown, Structural Stabilization, Vasculature, Immune Response, Endolysosome"
anterior semicircular canal development,GO:0060873,biological_process,GO:0008150,"Unknown, Structural Stabilization, Cell Cycle, Synapse, Immune Response"
lateral semicircular canal development,GO:0060875,biological_process,GO:0008150,"Unknown, Vasculature, Immune Response, Apoptosis, Structural Stabilization"
semicircular canal formation,GO:0060876,biological_process,GO:0008150,"Unknown, Structural Stabilization, Vasculature, Myelination, Cell Cycle"
semicircular canal fusion,GO:0060879,biological_process,GO:0008150,"Unknown, Unknown, Unknown, Unknown, Unknown"
limb epidermis development,GO:0060887,biological_process,GO:0008150,"Structural Stabilization, Endolysosome, Proteostasis, Epigenetic, Vasculature"
neural plate pattern specification,GO:0060896,biological_process,GO:0008150,"Structural Stabilization, Epigenetic, Proteostasis, Synapse, Endolysosome"
embryonic camera-type eye formation,GO:0060900,biological_process,GO:0008150,"Unknown, Structural Stabilization, Vasculature, Synapse, Immune Response"
positive regulation of meiosis I,GO:0060903,biological_process,GO:0008150,"Cell Cycle, Unknown, Apoptosis, Autophagy, DNA Repair"
regulation of protein folding in endoplasmic reticulum,GO:0060904,biological_process,GO:0008150,"Proteostasis, Endolysosome, APP Metabolism, Autophagy, Tau Homeostasis"
positive regulation of macrophage cytokine production,GO:0060907,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
cardiac cell fate specification,GO:0060912,biological_process,GO:0008150,"Vasculature, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Unknown"
cardiac cell fate determination,GO:0060913,biological_process,GO:0008150,"Vasculature, Cell Cycle, Unknown, Structural Stabilization, Endolysosome"
heart formation,GO:0060914,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Cell Cycle, Unknown, Proteostasis"
mesenchymal cell differentiation involved in lung development,GO:0060915,biological_process,GO:0008150,"Unknown, Immune Response, Structural Stabilization, Cell Cycle, Endolysosome"
mesenchymal cell proliferation involved in lung development,GO:0060916,biological_process,GO:0008150,"Unknown, Cell Cycle, Immune Response, Vasculature, Structural Stabilization"
cardiac pacemaker cell differentiation,GO:0060920,biological_process,GO:0008150,"Vasculature, Unknown, Structural Stabilization, Cell Cycle, Proteostasis"
sinoatrial node cell differentiation,GO:0060921,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Unknown, Immune Response, Endolysosome"
atrioventricular node cell differentiation,GO:0060922,biological_process,GO:0008150,"Vasculature, Structural Stabilization, Cell Cycle, Unknown, Immune Response"
