array_index,seconds_used,timestamp,temperature
39,8.32,2025-07-13 14:09:45,0.5
40,8.32,2025-07-13 14:09:45,0.5
39,8.23,2025-07-13 14:12:59,0.5
38,14116.51,2025-07-13 18:08:07,0.5
34,15942.55,2025-07-13 18:38:33,0.5
35,16110.12,2025-07-13 18:41:21,0.5
21,16281.47,2025-07-13 18:44:08,0.5
36,16736.71,2025-07-13 18:51:48,0.5
33,16785.48,2025-07-13 18:52:36,0.5
15,16815.25,2025-07-13 18:53:02,0.5
16,16856.11,2025-07-13 18:53:43,0.5
23,17312.72,2025-07-13 19:01:19,0.5
9,17591.62,2025-07-13 19:05:58,0.5
19,17676.41,2025-07-13 19:07:23,0.5
24,17775.9,2025-07-13 19:09:02,0.5
27,17811.83,2025-07-13 19:09:38,0.5
26,17822.36,2025-07-13 19:09:49,0.5
14,17936.61,2025-07-13 19:11:43,0.5
31,17939.52,2025-07-13 19:11:50,0.5
37,17978.72,2025-07-13 19:12:30,0.5
18,18021.82,2025-07-13 19:13:08,0.5
20,18163.4,2025-07-13 19:15:30,0.5
29,18175.64,2025-07-13 19:15:46,0.5
17,18233.2,2025-07-13 19:16:40,0.5
28,18309.84,2025-07-13 19:17:56,0.5
2,18432.23,2025-07-13 19:19:59,0.5
7,18444.19,2025-07-13 19:20:11,0.5
25,18500.25,2025-07-13 19:21:07,0.5
32,18500.4,2025-07-13 19:21:11,0.5
13,18784.32,2025-07-13 19:25:51,0.5
3,18793.15,2025-07-13 19:26:00,0.5
11,18844.17,2025-07-13 19:26:51,0.5
30,18888.88,2025-07-13 19:27:40,0.5
10,18945.56,2025-07-13 19:28:32,0.5
12,19011.62,2025-07-13 19:29:38,0.5
4,19023.44,2025-07-13 19:29:50,0.5
8,19042.5,2025-07-13 19:30:09,0.5
5,19089.25,2025-07-13 19:30:56,0.5
6,19102.75,2025-07-13 19:31:09,0.5
22,19175.22,2025-07-13 19:32:22,0.5
1,19551.88,2025-07-13 19:38:38,0.5
