node,nodeID,root node,root node ID,biodomain
positive regulation of macrophage apoptotic process,GO:2000111,biological_process,GO:0008150,"Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome"
regulation of establishment of cell polarity,GO:2000114,biological_process,GO:0008150,"Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome"
regulation of sodium-dependent phosphate transport,GO:2000118,biological_process,GO:0008150,"Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress"
negative regulation of sodium-dependent phosphate transport,GO:2000119,biological_process,GO:0008150,"Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome"
positive regulation of sodium-dependent phosphate transport,GO:2000120,biological_process,GO:0008150,"Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress"
regulation of removal of superoxide radicals,GO:2000121,biological_process,GO:0008150,"Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy"
regulation of endocannabinoid signaling pathway,GO:2000124,biological_process,GO:0008150,"Synapse, Lipid Metabolism, Autophagy, Immune Response, Proteostasis"
negative regulation of G1/S transition of mitotic cell cycle,GO:2000134,biological_process,GO:0008150,"Cell Cycle, Synapse, Proteostasis, Epigenetic, Autophagy"
regulation of cell proliferation involved in heart morphogenesis,GO:2000136,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Vasculature, Unknown, Developmental Process"
negative regulation of cell proliferation involved in heart morphogenesis,GO:2000137,biological_process,GO:0008150,"Cell Cycle, Vasculature, Structural Stabilization, Unknown, Apoptosis"
positive regulation of cell proliferation involved in heart morphogenesis,GO:2000138,biological_process,GO:0008150,"Cell Cycle, Structural Stabilization, Vasculature, Unknown, Unknown"
regulation of DNA-templated transcription initiation,GO:2000142,biological_process,GO:0008150,"Epigenetic, Synapse, Proteostasis, RNA Spliceosome, DNA Repair"
negative regulation of DNA-templated transcription initiation,GO:2000143,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
positive regulation of DNA-templated transcription initiation,GO:2000144,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
regulation of cell motility,GO:2000145,biological_process,GO:0008150,"Synapse, Proteostasis, Cell Cycle, Immune Response, Apoptosis"
negative regulation of cell motility,GO:2000146,biological_process,GO:0008150,"Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Unknown"
positive regulation of cell motility,GO:2000147,biological_process,GO:0008150,"Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Unknown"
"regulation of retrograde vesicle-mediated transport, Golgi to ER",GO:2000156,biological_process,GO:0008150,"Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism"
positive regulation of ubiquitin-specific protease activity,GO:2000158,biological_process,GO:0008150,"Proteostasis, Synapse, Endolysosome, Autophagy, Epigenetic"
negative regulation of dendrite development,GO:2000171,biological_process,GO:0008150,"Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic"
regulation of branching morphogenesis of a nerve,GO:2000172,biological_process,GO:0008150,"Synapse, Unknown, Proteostasis, Structural Stabilization, Autophagy"
negative regulation of branching morphogenesis of a nerve,GO:2000173,biological_process,GO:0008150,"Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown"
positive regulation of pro-T cell differentiation,GO:2000176,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
regulation of neural precursor cell proliferation,GO:2000177,biological_process,GO:0008150,"Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair"
negative regulation of neural precursor cell proliferation,GO:2000178,biological_process,GO:0008150,"Synapse, Cell Cycle, Epigenetic, Proteostasis, Apoptosis"
positive regulation of neural precursor cell proliferation,GO:2000179,biological_process,GO:0008150,"Cell Cycle, Epigenetic, Proteostasis, Synapse, Autophagy"
negative regulation of androgen biosynthetic process,GO:2000180,biological_process,GO:0008150,"Lipid Metabolism, Proteostasis, Epigenetic, Synapse, Cell Cycle"
regulation of progesterone biosynthetic process,GO:2000182,biological_process,GO:0008150,"Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Unknown"
positive regulation of progesterone biosynthetic process,GO:2000184,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
negative regulation of phosphate transmembrane transport,GO:2000186,biological_process,GO:0008150,"Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress"
positive regulation of phosphate transmembrane transport,GO:2000187,biological_process,GO:0008150,"Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome"
regulation of fatty acid transport,GO:2000191,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress"
negative regulation of fatty acid transport,GO:2000192,biological_process,GO:0008150,"Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy"
positive regulation of fatty acid transport,GO:2000193,biological_process,GO:0008150,"Lipid Metabolism, Proteostasis, Synapse, Autophagy, Endolysosome"
regulation of female gonad development,GO:2000194,biological_process,GO:0008150,"Unknown, Epigenetic, Cell Cycle, Proteostasis, Autophagy"
negative regulation of female gonad development,GO:2000195,biological_process,GO:0008150,"Epigenetic,Cell Cycle,Unknown,Proteostasis,Synapse"
negative regulation of ribosomal large subunit export from nucleus,GO:2000204,biological_process,GO:0008150,"Synapse, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome"
positive regulation of ribosomal small subunit export from nucleus,GO:2000208,biological_process,GO:0008150,"Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cellular Processes"
regulation of anoikis,GO:2000209,biological_process,GO:0008150,"Apoptosis, Cell Cycle, Proteostasis, Synapse, Autophagy"
positive regulation of anoikis,GO:2000210,biological_process,GO:0008150,"Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Synapse"
regulation of glutamate metabolic process,GO:2000211,biological_process,GO:0008150,"Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism"
negative regulation of glutamate metabolic process,GO:2000212,biological_process,GO:0008150,"Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism"
positive regulation of glutamate metabolic process,GO:2000213,biological_process,GO:0008150,"Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress"
regulation of testosterone biosynthetic process,GO:2000224,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Synapse"
negative regulation of testosterone biosynthetic process,GO:2000225,biological_process,GO:0008150,"Lipid Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress"
negative regulation of pancreatic A cell differentiation,GO:2000227,biological_process,GO:0008150,"Unknown, Proteostasis, Cell Cycle, Autophagy, Epigenetic"
positive regulation of pancreatic stellate cell proliferation,GO:2000231,biological_process,GO:0008150,"Cell Cycle, Unknown, Immune Response, Proteostasis, Autophagy"
regulation of rRNA processing,GO:2000232,biological_process,GO:0008150,"Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Unknown"
negative regulation of rRNA processing,GO:2000233,biological_process,GO:0008150,"Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Unknown"
positive regulation of rRNA processing,GO:2000234,biological_process,GO:0008150,"Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Unknown"
regulation of reproductive process,GO:2000241,biological_process,GO:0008150,"Unknown,Epigenetic,Mitochondrial Metabolism,Immune Response,Synapse"
negative regulation of reproductive process,GO:2000242,biological_process,GO:0008150,"Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy"
positive regulation of reproductive process,GO:2000243,biological_process,GO:0008150,"Unknown, Proteostasis, Synapse, Cell Cycle, Autophagy"
negative regulation of feeding behavior,GO:2000252,biological_process,GO:0008150,"Synapse, Proteostasis, Endolysosome, Autophagy, Unknown"
positive regulation of feeding behavior,GO:2000253,biological_process,GO:0008150,"Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown"
regulation of male germ cell proliferation,GO:2000254,biological_process,GO:0008150,"Cell Cycle,Epigenetic,Unknown,Synapse,Proteostasis"
negative regulation of male germ cell proliferation,GO:2000255,biological_process,GO:0008150,"Cell Cycle, Epigenetic, Proteostasis, Unknown, Apoptosis"
positive regulation of male germ cell proliferation,GO:2000256,biological_process,GO:0008150,"Cell Cycle, Unknown, Apoptosis, Epigenetic, DNA Repair"
regulation of protein activation cascade,GO:2000257,biological_process,GO:0008150,"Synapse, Proteostasis, Epigenetic, Cell Cycle, Unknown"
"negative regulation of blood coagulation, common pathway",GO:2000261,biological_process,GO:0008150,"ERROR: Error code: 400 - {'error': {'message': ""The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}"
regulation of fibroblast apoptotic process,GO:2000269,biological_process,GO:0008150,"Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Unknown"
negative regulation of fibroblast apoptotic process,GO:2000270,biological_process,GO:0008150,"Apoptosis, Proteostasis, Cell Cycle, Synapse, Structural Stabilization"
positive regulation of fibroblast apoptotic process,GO:2000271,biological_process,GO:0008150,"Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Unknown"
negative regulation of signaling receptor activity,GO:2000272,biological_process,GO:0008150,"Synapse, Proteostasis, Epigenetic, Cell Cycle, Apoptosis"
regulation of DNA biosynthetic process,GO:2000278,biological_process,GO:0008150,"Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse"
negative regulation of DNA biosynthetic process,GO:2000279,biological_process,GO:0008150,"Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown"
positive regulation of myotome development,GO:2000287,biological_process,GO:0008150,"Synapse, Proteostasis, Structural Stabilization, Epigenetic, Unknown"
positive regulation of myoblast proliferation,GO:2000288,biological_process,GO:0008150,"Cell Cycle, Proteostasis, Structural Stabilization, Unknown, Synapse"
regulation of myoblast proliferation,GO:2000291,biological_process,GO:0008150,"Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Unknown"
