array_index,seconds_used,timestamp,temperature
40,7.9,2025-07-13 14:11:09,0.0
38,15463.31,2025-07-13 18:28:44,0.0
34,17362.95,2025-07-13 19:00:24,0.0
35,18046.95,2025-07-13 19:11:48,0.0
36,18196.8,2025-07-13 19:14:18,0.0
15,18229.76,2025-07-13 19:14:51,0.0
21,18435.68,2025-07-13 19:18:17,0.0
33,18454.72,2025-07-13 19:18:36,0.0
16,18498.68,2025-07-13 19:19:20,0.0
27,18672.25,2025-07-13 19:22:13,0.0
26,18890.33,2025-07-13 19:25:51,0.0
9,19177.62,2025-07-13 19:30:30,0.0
29,19255.59,2025-07-13 19:31:57,0.0
19,19369.14,2025-07-13 19:33:50,0.0
31,19460.9,2025-07-13 19:35:22,0.0
20,19652.67,2025-07-13 19:38:34,0.0
32,19660.63,2025-07-13 19:38:42,0.0
28,19677.49,2025-07-13 19:38:59,0.0
23,19767.61,2025-07-13 19:40:29,0.0
24,19776.33,2025-07-13 19:40:37,0.0
14,19870.02,2025-07-13 19:42:11,0.0
2,20044.03,2025-07-13 19:44:56,0.0
5,20048.05,2025-07-13 19:45:01,0.0
11,20058.56,2025-07-13 19:45:11,0.0
18,20051.59,2025-07-13 19:45:13,0.0
37,20122.91,2025-07-13 19:46:24,0.0
7,20258.29,2025-07-13 19:48:31,0.0
30,20310.84,2025-07-13 19:49:32,0.0
13,20314.11,2025-07-13 19:49:35,0.0
25,20360.37,2025-07-13 19:50:22,0.0
3,20381.12,2025-07-13 19:50:33,0.0
17,20482.05,2025-07-13 19:52:23,0.0
1,20620.21,2025-07-13 19:54:32,0.0
10,21253.0,2025-07-13 20:05:05,0.0
22,21273.13,2025-07-13 20:05:34,0.0
4,21417.75,2025-07-13 20:07:50,0.0
6,21645.81,2025-07-13 20:11:38,0.0
8,21800.46,2025-07-13 20:14:13,0.0
12,21959.14,2025-07-13 20:17:00,0.0
