array_index,seconds_used,timestamp
2,3.35,2025-07-22 16:51:18
5,3.29,2025-07-22 16:51:18
4,3.34,2025-07-22 16:51:18
3,3.34,2025-07-22 16:51:18
12,3.41,2025-07-22 16:51:19
10,3.43,2025-07-22 16:51:19
8,3.44,2025-07-22 16:51:19
6,3.45,2025-07-22 16:51:19
9,3.46,2025-07-22 16:51:19
12,3.43,2025-07-22 16:52:20
11,653.01,2025-07-22 17:03:10
9,2077.98,2025-07-22 17:26:55
3,2184.62,2025-07-22 17:28:42
6,2203.05,2025-07-22 17:29:00
5,2247.99,2025-07-22 17:29:45
7,2255.13,2025-07-22 17:29:52
8,2305.17,2025-07-22 17:30:42
10,2308.94,2025-07-22 17:30:46
2,2493.09,2025-07-22 17:33:50
4,2497.85,2025-07-22 17:33:55
1,2643.15,2025-07-22 17:36:20
