array_index,seconds_used,timestamp,temperature
1,24.48,2025-07-13 04:58:15,0.0
2,20.12,2025-07-13 04:59:48,0.0
8,22.42,2025-07-13 04:59:49,0.0
18,24.03,2025-07-13 04:59:51,0.0
9,25.19,2025-07-13 04:59:52,0.0
10,25.3,2025-07-13 04:59:52,0.0
16,26.13,2025-07-13 04:59:53,0.0
11,26.32,2025-07-13 04:59:53,0.0
14,26.41,2025-07-13 04:59:53,0.0
17,26.71,2025-07-13 04:59:53,0.0
12,26.98,2025-07-13 04:59:54,0.0
1,25.06,2025-07-13 04:59:55,0.0
19,30.37,2025-07-13 04:59:57,0.0
15,31.09,2025-07-13 04:59:58,0.0
6,31.69,2025-07-13 04:59:58,0.0
5,31.85,2025-07-13 04:59:58,0.0
13,31.97,2025-07-13 04:59:59,0.0
3,31.47,2025-07-13 05:00:00,0.0
4,34.74,2025-07-13 05:00:01,0.0
7,38.33,2025-07-13 05:00:05,0.0
20,4.03,2025-07-13 05:04:16,0.0
