Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Endolysosome, Synapse
GO Term: Single Strand Break Repair -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Phosphopyruvate Hydratase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Lactase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Immune Response
GO Term: Alpha-Glucoside Transport -> Biodomain: APP Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Dna Recombination -> Biodomain: DNA Repair, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Maltose Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Maltose Catabolic Process -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Alpha-1,2-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Ribosomal Large Subunit Assembly -> Biodomain: Proteostasis, Ribosomal Metabolism, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Ribosomal Small Subunit Assembly -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Acyl Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Acyl Carrier Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Very Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Proteostasis
GO Term: Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Peptidyltransferase Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Trna Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Urea Cycle -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Citrulline Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Argininosuccinate Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Autophagy
GO Term: Ribosomal Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Cell Cycle
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Immune Response, Proteostasis
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Sulfur Amino Acid Transport -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfate Assimilation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism, Autophagy
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Autophagy, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
