Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Autophagy, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Unknown
GO Term: Gobp Recombinational Repair -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Double Strand Break Repair Via Break Induced Replication -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Unknown
GO Term: Gobp Receptor Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Blood Vessel Maturation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Regulation Of L Glutamate Import Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Unknown
GO Term: Gobp Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
