Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Apoptosis, Endolysosome
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, APP Metabolism
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, APP Metabolism
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, APP Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: APP Metabolism, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Synapse, Proteostasis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Transmembrane Signaling Receptor Activity, Apoptosis, Cell Cycle
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Cytokine Signaling, Neuroinflammation, Chemokine Signaling, Neuroimmune Interactions
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Synapse, Vasculature
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Autophagy
GO Term: Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: Calcitonin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Immune Response, Tau Homeostasis, Proteostasis
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Oxidative Stress
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Synapse
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Synapse, Endolysosome
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Apoptosis, Immune Response
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Somatostatin Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Tau Homeostasis
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Immune Response
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Vasopressin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Apoptosis, Immune Response
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, APP Metabolism, Immune Response, Proteostasis, Structural Stabilization
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Proteostasis, Apoptosis, Synapse, Immune Response, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, APP Metabolism, Synapse
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Proteostasis, Vasculature, Immune Response, Synapse, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Neurotrophin Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Tau Homeostasis, Oxidative Stress
