Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Benzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Phthalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Propylene Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Guanyl Nucleotide Binding -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gdp Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Unknown, Proteostasis, Apoptosis, Endolysosome
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, APP Metabolism
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Unknown, Autophagy, Apoptosis, Epigenetic
GO Term: Virus Maturation -> Biodomain: Unknown, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Unknown, Proteostasis, Autophagy, Endolysosome
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Viral Translation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Viral Transcription -> Biodomain: Immune Response, Unknown, Proteostasis, Autophagy, Apoptosis
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Unknown
GO Term: Late Viral Transcription -> Biodomain: Unknown, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Reproductive Behavior -> Biodomain: Unknown, Immune Response, Vasculature, Cell Cycle, DNA Repair
GO Term: Male Germ-Line Sex Determination -> Biodomain: Unknown, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Female Somatic Sex Determination -> Biodomain: Unknown, Epigenetic, Immune Response, Cell Cycle, DNA Repair
GO Term: Male Somatic Sex Determination -> Biodomain: Unknown, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Apoptosis, Proteostasis
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Synapse
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Synapse
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Lipid Metabolism
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Mannokinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, APP Metabolism
GO Term: Nadp Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Snrna-Activating Protein Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Cell Cycle
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Nucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Lipid Metabolism
GO Term: Kinase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Phosphatase Regulator Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Kinase Activator Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Apoptosis
GO Term: Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Apoptosis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Phosphatase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Deacetylase Activity -> Biodomain: Tau Homeostasis, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse, Endolysosome
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, Apoptosis, Cell Cycle
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Proprioception -> Biodomain: Synapse, Structural Stabilization, Nervous System Process, Unknown, Proteostasis
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Nervous System Process, Oxidative Stress, Immune Response, Proteostasis
GO Term: Response To Pheromone -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Unknown
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
