Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Biological Process -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, DNA Repair
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: N-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Mrna Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna Methyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Apoptosis
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Heparin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Hormonal and Metabolic Regulation, Metal Binding and Homeostasis, Epigenetic, Cellular Processes
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Cell Cycle
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Spermine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Spermidine Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cell Death -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Apoptosis
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Synapse
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Serine-Type Peptidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Metallopeptidase Activity -> Biodomain: Synapse, APP Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Lipid Metabolism
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Synapse, Apoptosis
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Nucleotidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 3'-Nucleotidase Activity -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Synapse
GO Term: Poly(U) Rna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Cell Cycle
GO Term: Zinc Ion Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Synapse, Myelination, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Cohesin Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, Synapse
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Oxidative Stress
