Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Phthalate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Gmp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Gdp Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Cell Cycle
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Virus Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Viral Translation -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Reproductive Behavior -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Autophagy
