Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Benzene Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Synapse
GO Term: Propylene Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Gmp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Gdp Binding -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Synapse
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Virion Attachment To Host Cell -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
