Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Endolysosome, Immune Response
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Cell Cycle
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Immune Response
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Immune Receptor Activity, Proteostasis, Endolysosome
GO Term: Growth Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
