Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Poly(A) Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Biological Process -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, DNA Repair, RNA Spliceosome
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, Oxidative Stress
GO Term: S-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Cell Cycle
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Signaling, Synaptic Plasticity, Behavior, Neural Development
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Cell Cycle
