Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Gmp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Gdp Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Synapse, Epigenetic, Oxidative Stress
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Virion Assembly -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Virus Maturation -> Biodomain: Immune Response, Proteostasis, Autophagy, Synapse, Apoptosis
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Synapse
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Reproductive Behavior -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic,Synapse,Cell Cycle,DNA Repair,Structural Stabilization
GO Term: Female Somatic Sex Determination -> Biodomain: Synapse, Developmental Process, Reproductive Process, Anatomical Structure Development, Multicellular Organismal Process
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Myristoyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Mannokinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Nadp Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, DNA Repair
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Amino Acid Kinase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Cell Cycle
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Oxidative Stress, Proteostasis
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Nucleoside Kinase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Kinase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Oxidative Stress
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Proprioception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Deaminase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
