Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Phthalate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Propylene Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Gdp Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Oxidative Stress
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Synapse
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
