Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Protection -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Proteostasis, Autophagy
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress, Autophagy
GO Term: Xylosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
