Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Digestive System Development -> Biodomain: Organ Development, Nutrient Processing, Secretory System, Macromolecule Metabolism, Tissue Development
GO Term: Vibrational Conductance Of Sound To The Inner Ear -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: L-Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: D-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: C3Hc4-Type Ring Finger Domain Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Minus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Plus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Immune Response
GO Term: Copper Ion Export -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Reflex -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Proteostasis
GO Term: Vestibular Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Vasculature
GO Term: Linear Vestibuloocular Reflex -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Sertoli Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Epigenetic
GO Term: Sertoli Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Synapse
GO Term: Sertoli Cell Fate Commitment -> Biodomain: Reproductive System, Developmental Biology, Stem Cell Biology, Somatic Stem Cells, Cell Differentiation
GO Term: Sertoli Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Righting Reflex -> Biodomain: Motor Function, Neurophysiology, Behavior, Muscle Function, Sensory Processing
GO Term: Granulosa Cell Differentiation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Apoptosis, Mitochondrial Metabolism
GO Term: Parathyroid Gland Development -> Biodomain: Endocrine System, Developmental Biology, Hormone Regulation, Mineral Homeostasis, Organ Development
GO Term: Astrocyte Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Proteostasis
GO Term: Radial Glial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Bergmann Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Roof Of Mouth Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Apoptosis
GO Term: Hard Palate Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Soft Palate Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Rhythmic Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Synaptic Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Convergent Extension -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Convergent Extension Involved In Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Convergent Extension Involved In Organogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Notochord Regression -> Biodomain: Apoptosis, Autophagy, Endolysosome, Epigenetic, Proteostasis
GO Term: Anatomical Structure Regression -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Endolysosome
GO Term: Notochord Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Pharyngeal System Development -> Biodomain: Endocrine, Immune Response, Vasculature, Structural Stabilization, Apoptosis
GO Term: Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Pericardium Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Retinal Bipolar Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
