Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Mesonephric Duct Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Nephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Nephric Duct Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Mesonephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Mesonephric Duct Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Negative Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Renal Vesicle Progenitor Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Ureter Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Ureter Urothelium Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ureter Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Apoptosis, Vasculature
GO Term: Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Metanephric Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Metanephric Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Metanephric Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Metanephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Metanephric Capsule Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Metanephric Cortex Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Ascending Thin Limb Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Metanephric Cortical Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Metanephric Descending Thin Limb Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Metanephric Distal Convoluted Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Macula Densa Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Proximal Convoluted Tubule Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Metanephric Proximal Straight Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Metanephric Proximal Convoluted Tubule Segment 2 Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Metanephric Thick Ascending Limb Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Metanephric Nephron Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Distal Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Loop Of Henle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Metanephric Proximal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Metanephric Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Metanephric Dct Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Glomerular Mesangial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Interstitial Fibroblast Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Metanephric Glomerular Mesangial Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Metanephric Capsule Specification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Pattern Specification Involved In Metanephros Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Proteostasis
GO Term: Proximal/Distal Pattern Formation Involved In Metanephric Nephron Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Metanephric Nephron Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Metanephric Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Apoptosis
GO Term: Metanephric Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric Nephron Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
