Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Wounding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Autophagy, Apoptosis
GO Term: Response To Virus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Nematode -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Cold Acclimation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Blue Light -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, DNA Repair, Autophagy
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Synapse, Oxidative Stress
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ethylene Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Response To Hormone -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Response To Sucrose -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Coumarin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Flavonoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Endolysosome
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
