Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Interleukin-15 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Apoptosis, Proteostasis, Vasculature
GO Term: Nad(P)H Oxidase H2O2-Forming Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Superoxide-Generating Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Superoxide-Generating Nadph Oxidase Activator Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Snrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Synaptic Vesicle Budding From Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Coating -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Synaptic Vesicle To Endosome Fusion -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Uncoating -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Endosomal Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Axon Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Axon Midline Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Muscle Attachment -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Synapse
GO Term: Catechol O-Methyltransferase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Amp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Antioxidant Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Kynurenine-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Acyl-Coa 6-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Acyl-Coa Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Beta-Alanine:Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Metabolism, Oxidative Stress, Proteostasis
GO Term: Steroid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sphingomyelin Phosphodiesterase Activator Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Hnk-1 Sulfotransferase Activity -> Biodomain: Glycosylation, Synapse, Myelination, Proteostasis, Structural Stabilization
GO Term: Telomere Capping -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Aggresome -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Macroautophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Microautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Autophagosome Membrane Docking -> Biodomain: Autophagy, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Channel Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: N-Sulfoglucosamine Sulfohydrolase Activity -> Biodomain: Glycosaminoglycan Metabolism, Proteoglycan Metabolism, Endolysosome, Lysosomal Function, Carbohydrate Metabolism
