Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Dna Protection -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Innate Immune Response, Cytotoxicity, Defense Response
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Killing, Innate Immune Response, Defense Response
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, DNA Damage Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, DNA Damage Response, DNA Synthesis and Replication, Stress Response, Genome Stability
GO Term: Peptide Binding -> Biodomain: Proteostasis, Immune Response, Endolysosome, Apoptosis, APP Metabolism
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, DNA Repair, Proteostasis
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, APP Metabolism
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Autophagy
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Xylosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature, Endolysosome
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Cell Cycle
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin System, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Isg15 Transferase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, APP Metabolism, Epigenetic
GO Term: Vocal Learning -> Biodomain: Synapse, Epigenetic, Tau Homeostasis, Myelination, Autophagy
GO Term: Phosphate Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
