Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Symbiont -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Nematode -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Cold Acclimation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Response To Light Intensity -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Photosynthesis, Circadian Rhythms, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Myelination
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Response to External Biotic Stimulus, Defense Response, Biological Process Involved in Interspecies Interaction, Response to Biotic Stimulus
GO Term: Ethylene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Hormone -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Response To Salicylic Acid -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Signal Transduction, Cellular Signaling, Regulation of Biological Process, Response to Stimulus, Endocrine System
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Coumarin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Flavonoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Alkaloid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Autophagy
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
