Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Epigenetic
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Differentiation, Nervous System Development
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Differentiation, Myelination, Proteostasis
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Tau Homeostasis
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Neuron Development, Cell Morphogenesis, Anatomical Structure Morphogenesis
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Myelination
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Pituitary Gland Development -> Biodomain: Endocrine System, Developmental Biology, Neuroscience, Signaling Pathways, Systems Biology
GO Term: Adenohypophysis Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Vasculature
GO Term: Neurohypophysis Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Lipid Metabolism, Myelination
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Developmental Process, Nervous System Development, Structural Stabilization, Embryonic Development, Tissue Morphogenesis
GO Term: Neural Plate Axis Specification -> Biodomain: Developmental Process, Pattern Specification Process, Anatomical Structure Development, Embryonic Development, Neural Plate Development
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Synapse
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Developmental Process, Morphogenesis, Tissue Development, Embryonic Development
