Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Chromosomal Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Chromatin Organization, Structural Stabilization
GO Term: Parallel Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Glycinergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dopaminergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Inositol 1,4,5-Trisphosphate Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, APP Metabolism, Autophagy
GO Term: Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Copper Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Serine Import Across Plasma Membrane -> Biodomain: Amino Acid Transport, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sodium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
