Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Vasculature, Apoptosis, Endolysosome, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Unknown
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Cell Cycle
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Unknown
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Vasculature
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Inflammatory Response, Cell Surface Receptor, Vasculature
