Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Platelet Activating Factor Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Localization To Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Specification Of Axis Polarity -> Biodomain: Developmental Biology, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Intracellular Protein Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Protein-Dna Complex Assembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Protein-Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Biological Quality -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Extracellular Membrane-Bounded Organelle -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Glutamic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cysteine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Metalloaminopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Serine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Oligopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Intracellular Organelle Lumen -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Armadillo Repeat Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Transforming Growth Factor Beta Ligand-Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Carbon Monoxide Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response, Apoptosis
GO Term: Nitric Oxide Binding -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin I Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin Ii Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Telomerase Rna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Rrna (Pseudouridine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Rrna (Guanosine-2'-O-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Rrna (Uridine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Apoptosis
GO Term: Rrna (Uridine-N3-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Rrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neuron Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Synapse, Endolysosome
GO Term: Fibrinogen Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Collagen V Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Thrombospondin Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Mrna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
