Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Autophagy
GO Term: Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Serotonin Biosynthetic Process -> Biodomain: Synapse, Neurotransmitter Systems, Cell Signaling, Metabolism, Proteostasis
GO Term: Cellular Response To Glyceraldehyde -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Cellular Response To Acetaldehyde -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Proline Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Torc1 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Torc2 Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Permeability -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
