Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Symbiont -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Wounding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Endolysosome
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Nematode -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Cell Adhesion, Mechanosensory Response, Cell Motility
GO Term: Cold Acclimation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Response To Light Intensity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Entrainment Of Circadian Clock -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Uv Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ethylene Metabolic Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Response To Hormone -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Lipid Metabolism
