Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Myelination
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Myelination
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Vasculature, Immune Response
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Vasculature
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Myelination
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Pituitary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Endolysosome, Immune Response
GO Term: Adenohypophysis Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Vasculature
GO Term: Neurohypophysis Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Epigenetic
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Proteostasis, Cell Cycle
GO Term: Neural Plate Axis Specification -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Autophagy, Cell Cycle
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Synapse, Proteostasis
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Autophagy
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Metencephalon Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Apoptosis
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Cell Cycle
GO Term: Hair Cycle Process -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Synapse, Epigenetic, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Reproductive Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, RNA Spliceosome
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Myelination, Proteostasis
GO Term: Protein To Membrane Docking -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Synapse
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Autophagy
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Ion Channels, Neurotransmission, Cell Signaling, Receptor Activity
GO Term: Gated Channel Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Structural Stabilization
GO Term: Leak Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Oxidative Stress, Immune Response
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Ion Channel, Neurotransmission, Receptor Signaling, Membrane Transport
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Transmembrane Transporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Immune Response, Endolysosome, Cell Cycle, Autophagy
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Endolysosome
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Signaling -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
