Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Clathrin Heavy Chain Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Clathrin Light Chain Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Immune Response
GO Term: Bile Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Epigenetic
GO Term: Positive Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Bleb -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Bleb Assembly -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Restriction Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Immune Response, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Endodeoxyribonuclease Activity -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nacht Domain Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyrin Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Binding -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, APP Metabolism
GO Term: Sam Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy, Endolysosome
GO Term: Positive Regulation Of Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Appetite -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Appetite -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Appetite -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Regulation Of Response To Nutrient Levels -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Smc Loading Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dense Core Granule Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Histone H3K9 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Chromosome Passenger Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Guanine/Thymine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Single Base Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Dinucleotide Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Single Guanine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Single Thymine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: 4-Aminobutyrate Transaminase Complex -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Succinate-Semialdehyde Dehydrogenase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Activation Of Protein Kinase Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Activation Of Protein Kinase B Activity -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Cell Division Site -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Septin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Septin Collar -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dinucleotide Repeat Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Ubiquitin-Like Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Sumo Binding -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Apoptosis, Epigenetic, DNA Repair
GO Term: Sumo Polymer Binding -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Septin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Acrosin Binding -> Biodomain: Reproduction, Proteostasis, Protease Activity, Carbohydrate Binding, Cellular Processes
GO Term: Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Retrotransposition -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Telomere Organization -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
