Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mitochondrial Respiratory Chain Complex Ii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Pirna Binding -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Pirna Processing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Cell Cycle
GO Term: Hydroxyproline Transport -> Biodomain: Amino Acid Metabolism, Cell Metabolism, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Hydroxyproline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Synaptic Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Phosphatidylinositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization, Vasculature
GO Term: Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Phosphatidylinositol Phosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Phosphatidylinositol Phosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol-4,5-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Vasculature
GO Term: Cellular Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
