Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Digestive System Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Vibrational Conductance Of Sound To The Inner Ear -> Biodomain: Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: D-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: C3Hc4-Type Ring Finger Domain Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Minus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Plus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Copper Ion Export -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vestibular Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Linear Vestibuloocular Reflex -> Biodomain: Sensory, Neuronal Signaling, Movement, Reflex, Sensory Perception
GO Term: Sertoli Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Sertoli Cell Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Sertoli Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Sertoli Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Endolysosome, Epigenetic
GO Term: Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Righting Reflex -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Granulosa Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Parathyroid Gland Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Astrocyte Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Radial Glial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Autophagy
GO Term: Bergmann Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Roof Of Mouth Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Hard Palate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Vasculature
GO Term: Soft Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Rhythmic Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Synaptic Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Convergent Extension -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Convergent Extension Involved In Gastrulation -> Biodomain: Morphogenesis, Cell Morphogenesis, Embryonic Development, Cell Migration, Tissue Morphogenesis
GO Term: Convergent Extension Involved In Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Convergent Extension Involved In Organogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Notochord Regression -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, DNA Repair
GO Term: Anatomical Structure Regression -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Notochord Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Pharyngeal System Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Retinal Bipolar Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Mitochondrial Metabolism
GO Term: Retina Development In Camera-Type Eye -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Apoptosis
GO Term: Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
