Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Platelet Activating Factor Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Specification Of Axis Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Intracellular Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Protein-Dna Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Protein-Lipid Complex Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Regulation Of Biological Quality -> Biodomain: Proteostasis, Autophagy, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Extracellular Membrane-Bounded Organelle -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Glutamic-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cysteine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Metalloaminopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Serine-Type Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Oligopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Intracellular Organelle Lumen -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Armadillo Repeat Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Transforming Growth Factor Beta Ligand-Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Carbon Monoxide Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Nitric Oxide Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Oxidative Stress, Immune Response
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin I Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Synapse, Proteostasis
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin Ii Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Telomerase Rna Binding -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Rrna (Pseudouridine) Methyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Rrna (Guanosine-2'-O-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Rrna (Uridine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Rrna (Uridine-N3-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Rrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neuron Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Synapse, Structural Stabilization, Endolysosome
GO Term: Fibrinogen Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Collagen V Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Thrombospondin Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Mrna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: 'De Novo' Actin Filament Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Fructose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Extracellular Exosome -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Rna Polymerase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Proline-Rich Region Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Cell Cycle
