Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Vasculature
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Ion Channel, Neurotransmission, Nervous System, Ion Homeostasis
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Vasculature
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling, Receptor Binding, Metabolism, Cell Growth and Proliferation, Endocrine System
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Bombesin Receptor Activity -> Biodomain: Receptor Signaling, Neuropeptide Signaling, GPCR Activity, Signal Transduction, Cell Communication
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Calcitonin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Neurotransmission, GPCR Pathways, Signal Transduction, Neuronal Signaling
GO Term: Icosanoid Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Signal Transduction, Cell Communication, Molecular Function, Protein Activity
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Synapse
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Vasculature, Cell Cycle
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Cell Motility and Adhesion, Angiogenesis, Tissue Repair and Regeneration
GO Term: Insulin Receptor Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Endolysosome, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Signal Transduction, Cell Cycle, Vasculature, Cellular Response Mechanisms, Kinase Activity
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Osmosensor Activity -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Structural Stabilization
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Scavenger Receptor Activity -> Biodomain: Endolysosome, Immune Response, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Synapse
