Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Interleukin-15 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Nad(P)H Oxidase H2O2-Forming Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Superoxide-Generating Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Superoxide-Generating Nadph Oxidase Activator Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Snrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Budding From Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Synaptic Vesicle Coating -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Synaptic Vesicle To Endosome Fusion -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Uncoating -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Endosomal Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Axon Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Axon Midline Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Muscle Attachment -> Biodomain: Structural Stabilization, Developmental Biology, Extracellular Matrix Organization, Tissue Morphogenesis, Cell Adhesion
GO Term: Catechol O-Methyltransferase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Amp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Antioxidant Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Kynurenine-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Acyl-Coa 6-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Acyl-Coa Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Beta-Alanine:Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Carbohydrate Metabolism, Metabolic Pathways, Proteostasis
GO Term: Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
