Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Dna Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Protein Synthesis, Ribosome Biogenesis, RNA Processing, Translation Regulation, Cellular Assembly and Maintenance
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Peptide Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Synapse, Oxidative Stress
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Xylosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
