Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Digestive System Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Vibrational Conductance Of Sound To The Inner Ear -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: C3Hc4-Type Ring Finger Domain Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Minus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Plus-End Directed Microfilament Motor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Copper Ion Export -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Reflex -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Proteostasis
GO Term: Vestibular Reflex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Endolysosome
GO Term: Linear Vestibuloocular Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sertoli Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Sertoli Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Sertoli Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Sertoli Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Righting Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Vasculature
GO Term: Granulosa Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Parathyroid Gland Development -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Structural Stabilization, Vasculature
GO Term: Astrocyte Fate Commitment -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Synapse
GO Term: Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Epigenetic, Lipid Metabolism
GO Term: Bergmann Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Roof Of Mouth Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Hard Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Soft Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Rhythmic Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Synaptic Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Convergent Extension -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
