Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Phosphatidylinositol Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Metalloendopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Synapse
GO Term: Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Maintenance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mitotic Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Mitotic Dna Replication Preinitiation Complex Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Strand Elongation Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Mitotic Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Autophagy
