Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Dna Protection -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Unknown
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Unknown
GO Term: Peptide Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Autophagy, DNA Repair, Epigenetic
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Isg15 Transferase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Vocal Learning -> Biodomain: Synapse, Epigenetic, Unknown, Structural Stabilization, Autophagy
GO Term: Phosphate Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Vasodilation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Circadian Rhythm, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Lipid Metabolism
GO Term: Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Unknown
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, APP Metabolism
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: L-Fucose Catabolic Process -> Biodomain: Endolysosome, Immune Response, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Unknown, Immune Response
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Menaquinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Vasculature
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Vitamin K Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Paraspeckles -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Histone Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Unknown
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Taurine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Epinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Norepinephrine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Dopamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopamine Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Choline Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Serotonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Serotonin Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Pigment Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Epigenetic
GO Term: Hormone Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Progesterone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Melanosome -> Biodomain: Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Inner Ear Morphogenesis -> Biodomain: Sensory Systems, Developmental Biology, Structural Stabilization, Cell Morphogenesis, Neural Crest
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Unknown
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Epigenetic
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Immune Response
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
