Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Chromosomal Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Parallel Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Unknown
GO Term: Glycinergic Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Dopaminergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Inositol 1,4,5-Trisphosphate Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Oxidative Stress
GO Term: Copper Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: D-Glucose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Sodium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Skeletal Muscle Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Symmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Maintenance Of Cell Number -> Biodomain: Apoptosis, Cell Cycle, Autophagy, DNA Repair, Epigenetic
GO Term: Macromolecule Deacylation -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Cell Cycle, Synapse
GO Term: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein Insertion Into Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Import Across Plasma Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Cell Cycle
GO Term: Cell Aggregation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Cerebellar Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Unknown
GO Term: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Skin Epidermis Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis
GO Term: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mechanosensitive Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Biofilm Matrix Disassembly -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response
GO Term: Golgi Apparatus Subcompartment -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Vasculature
GO Term: Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Apoptosis
