Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Synapse
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Vasculature
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
