Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Respiratory Chain Complex Ii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pirna Binding -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Proteostasis
GO Term: Pirna Processing -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Hydroxyproline Transport -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: L-Hydroxyproline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Synaptic Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Phosphatidylinositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Phosphatidylinositol Phosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Phosphatidylinositol Phosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol-4,5-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Heat -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Immune Response, Apoptosis
GO Term: Tetrahydrobiopterin Binding -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: Arginine Binding -> Biodomain: Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Cellular Response To Unfolded Protein -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Fatty Acid Elongation, Monounsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty Acid Elongation, Polyunsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Retinol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Retinol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Glutathione Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Glutathione Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Mitochondrion Migration Along Actin Filament -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Uv -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Histone H3K4Me/H3K4Me2/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, DNA Repair
GO Term: Cortisol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Retinoic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Nucleobase-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Nucleobase-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, DNA Repair
GO Term: Nucleobase-Containing Small Molecule Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Gid Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Endoplasmic Reticulum Chaperone Complex -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Integrin Alpha1-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Chemotaxis To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Unknown
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Unknown
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Synapse
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: U11/U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Prostaglandin F -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Response To Gonadotropin -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Response To Luteinizing Hormone -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Unknown
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Cation Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Unknown, Oxidative Stress, Proteostasis
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Chloride Channel Complex -> Biodomain: Structural Stabilization, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Methylosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Structural Stabilization
GO Term: Inhibin Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Picln-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Smn-Gemin2 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Synapse, Apoptosis
GO Term: Smn-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Cell Cycle, Epigenetic
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Immune Response, Oxidative Stress
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Endolysosome, Immune Response, Vasculature
GO Term: Basement Membrane Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Secretory Granule Lumen -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Glutathione Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Response To Histamine -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Endolysosome
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Immune Response
GO Term: Caffeine Oxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown, Lipid Metabolism
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Set3 Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
