Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: RNA Metabolism, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Lipoprotein Localization -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, Structural Stabilization
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
