Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Transcription and Translation Machinery, Cell Cycle, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dorsal Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Autophagy, Molecular Transport and Homeostasis
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Apoptosis, Signal Transduction
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Response to Stimulus, Immune System and Inflammation, Cell Cycle
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Apoptosis, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.5/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.5/runtime_log.csv
