Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein Destabilization -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Autophosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Nf Kappab Transcription Factor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Synaptic Transmission Gabaergic -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Intracellular Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Immune System and Inflammation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Phospholipase A2 Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Type I Interferon Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Location In Cell -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
