Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Cell Cycle
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Dorsal Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Structural Stabilization, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
