Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, DNA Repair
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Cell Cycle
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Conformation Change -> Biodomain: DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Cell Cycle, Response to Stimulus
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, RNA Metabolism, Structural Stabilization
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Lipid Metabolism
