Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dorsal Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Developmental Process
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Structural Stabilization, Cell Cycle
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Autophagy, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Structural Stabilization
