Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Collagen Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Regulation Of Glucose Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Structural Stabilization
GO Term: Gobp Neural Crest Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Neural Crest Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
