Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Transcription and Translation Machinery, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
