Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, RNA Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Microtubule Severing -> Biodomain: Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis
