Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, DNA Repair, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, Signal Transduction, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Dna Conformation Change -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Epigenetic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, RNA Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Signal Transduction, RNA Metabolism
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, RNA Metabolism
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/runtime_log.csv
