Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Metabolic Processes, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Coating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Immune System and Inflammation, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
