Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Signal Transduction, Transcription and Translation Machinery, DNA Repair, Apoptosis, Cell Cycle
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
