Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Mitochondrial Function and Metabolism, Autophagy, Response to Stimulus, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic Regulation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
